name	category
AIX: Zabbix agent is not available (for {$AGENT.TIMEOUT})	Agent/Service Status
APC Smart-UPS: Battery has high temperature (over {$BATTERY.TEMP.MAX.WARN}℃ for {$TIME.PERIOD})	High Temperature
APC Smart-UPS: Battery has low capacity (below {$BATTERY.CAPACITY.MIN.WARN}%)	Low Battery
APC Smart-UPS: Output load is high (over {$UPS.OUTPUT.MAX.WARN}% for {$TIME.PERIOD})	Overwhelming Usage
APC Smart-UPS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
APC Smart-UPS: Unacceptable input frequency (out of range {$UPS.INPUT_FREQ.MIN.WARN}-{$UPS.INPUT_FREQ.MAX.WARN}Hz for {$TIME.PERIOD})	Invalid Input
APC Smart-UPS: Unacceptable input voltage (out of range {$UPS.INPUT_VOLT.MIN.WARN}-{$UPS.INPUT_VOLT.MAX.WARN}V for {$TIME.PERIOD})	Invalid Input
APC Smart-UPS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
APC UPS Galaxy: Battery has high temperature (over {$BATTERY.TEMP.MAX.WARN}℃ for {$TIME.PERIOD})	High Temperature
APC UPS Galaxy: Battery has low capacity (below {$BATTERY.CAPACITY.MIN.WARN}%)	Low Battery
APC UPS Galaxy: Output load is high (over {$UPS.OUTPUT.MAX.WARN}% for {$TIME.PERIOD})	Overwhelming Usage
APC UPS Galaxy: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
APC UPS Galaxy: Unacceptable input frequency (out of range {$UPS.INPUT_FREQ.MIN.WARN}-{$UPS.INPUT_FREQ.MAX.WARN}Hz for {$TIME.PERIOD})	Invalid Input
APC UPS Galaxy: Unacceptable input voltage (out of range {$UPS.INPUT_VOLT.MIN.WARN}-{$UPS.INPUT_VOLT.MAX.WARN}V for {$TIME.PERIOD})	Invalid Input
APC UPS Galaxy: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
APC UPS Symmetra: Battery has high temperature (over {$BATTERY.TEMP.MAX.WARN}℃ for {$TIME.PERIOD})	High Temperature
APC UPS Symmetra: Battery has low capacity (below {$BATTERY.CAPACITY.MIN.WARN}%)	Low Battery
APC UPS Symmetra: Output load is high (over {$UPS.OUTPUT.MAX.WARN}% for {$TIME.PERIOD})	Overwhelming Usage
APC UPS Symmetra: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
APC UPS Symmetra: Unacceptable input frequency (out of range {$UPS.INPUT_FREQ.MIN.WARN}-{$UPS.INPUT_FREQ.MAX.WARN}Hz for {$TIME.PERIOD})	Invalid Input
APC UPS Symmetra: Unacceptable input voltage (out of range {$UPS.INPUT_VOLT.MIN.WARN}-{$UPS.INPUT_VOLT.MAX.WARN}V for {$TIME.PERIOD})	Invalid Input
APC UPS Symmetra: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
APC UPS: Battery has high temperature (over {$BATTERY.TEMP.MAX.WARN}℃ for {$TIME.PERIOD})	High Temperature
APC UPS: Battery has low capacity (below {$BATTERY.CAPACITY.MIN.WARN}%)	Low Battery
APC UPS: Output load is high (over {$UPS.OUTPUT.MAX.WARN}% for {$TIME.PERIOD})	Overwhelming Usage
APC UPS: System name has changed (new name: {ITEM.VALUE})	System Configuration Info
APC UPS: Unacceptable input frequency (out of range {$UPS.INPUT_FREQ.MIN.WARN}-{$UPS.INPUT_FREQ.MAX.WARN}Hz for {$TIME.PERIOD})	Invalid Input
APC UPS: Unacceptable input voltage (out of range {$UPS.INPUT_VOLT.MIN.WARN}-{$UPS.INPUT_VOLT.MAX.WARN}V for {$TIME.PERIOD})	Invalid Input
APC UPS: {HOST.NAME} has been restarted (uptime < 10m)	Agent/Service Status
AWS EC2: Byte Credit balance is too low (less {$AWS.EBS.BYTE.CREDIT.BALANCE.MIN.WARN}% for 5m)	Low Balance
AWS EC2: High CPU utilization (over {$AWS.EC2.CPU.UTIL.WARN.MAX}% for 15m)	System Performance
AWS EC2: I/O Credit balance is too low (less {$AWS.EBS.IO.CREDIT.BALANCE.MIN.WARN}% for 5m)	Low Balance
AWS EC2: Instance CPU Credit balance is too low (less {$AWS.EC2.CPU.CREDIT.BALANCE.MIN.WARN} for 5m)	Low Balance
